Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
KAL701,B777,HL7534,RKSI,RJAA,25000,2012-05-13 9:06,,,23,33L,,KAL,RKSI_PULUN
KAL775,B737,HL7757,RKSI,RJNK,25000,2012-05-13 9:08,,,12,33L,,KAL,RKSI_PULUN
JNA201,B737,HL7798,RKSI,RJCC,25000,2012-05-13 9:14,,,18,33L,,JNA,RKSI_PULUN
AAR172,A321,HL7723,RKSI,ROAH,25000,2012-05-13 9:16,,,32,34,,AAR,RKSI_PULUN
CPA421,B772,BHNC,RKSI,VHHH,25000,2012-05-13 9:18,,,125,34,,CPA,RKSI_PULUN
KAL805,B737,HL8240,RKSI,ZBTJ,25000,2012-05-13 9:20,,,16,34,,KAL,RKSI_PULUN
KAL630,A333,HL7701,WADD,RKSI,25000,2012-05-13 9:22,,6,,,33R,KAL,PULUN_RKSI
JNA011,B737,HL7555,RKSI,VHHH,25000,2012-05-13 9:23,,,114,34,,JNA,RKSI_PULUN
AAR351,A321,HL7711,RKSI,ZYYJ,25000,2012-05-13 9:26,,,41,34,,AAR,RKSI_PULUN
AAR361,B777,HL7739,RKSI,ZSPD,25000,2012-05-13 9:28,,,48,34,,AAR,RKSI_PULUN
AFR267,B773,FGSQF,RKSI,LFPG,25000,2012-05-13 9:30,,,110,34,,AFR,RKSI_PULUN
AAR132,B777,HL7597,RKSI,RJFF,25000,2012-05-13 9:32,,,39,33L,,AAR,RKSI_PULUN
THA659,B773,HSTKD,RKSI,VTBS,25000,2012-05-13 9:32,,,122,34,,THA,RKSI_PULUN
CSN340,A321,B6685,RKSI,ZGGG,25000,2012-05-13 9:36,,,101,34,,CSN,RKSI_PULUN
AAR301,A321,HL7722,RKSI,ZYTL,25000,2012-05-13 9:38,,,45,34,,AAR,RKSI_PULUN
AAR126,A320,HL7735,RKSI,RJNS,25000,2012-05-13 9:39,,,37,33L,,AAR,RKSI_PULUN
KAL773,B737,HL7706,RKSI,RJCH,25000,2012-05-13 9:40,,,9,33L,,KAL,RKSI_PULUN
JJA2109,B737,HL7796,RKSI,VHHH,25000,2012-05-13 9:44,,,34,34,,JJA,RKSI_PULUN
AAR303,A320,HL7772,RKSI,ZYCC,25000,2012-05-13 9:45,,,50,34,,AAR,RKSI_PULUN
KAL825,B739,HL7705,RKSI,ZYYJ,25000,2012-05-13 9:46,,,22,34,,KAL,RKSI_PULUN
AAR552,B777,HL7732,LTBA,RKSI,25000,2012-05-13 9:48,,43,,,33R,AAR,PULUN_RKSI
KAL981,B737,HL7562,RKSI,UHWW,25000,2012-05-13 9:49,,,11,34,,KAL,RKSI_PULUN
TWB291,B737,HL8237,RKSI,RJFF,25000,2012-05-13 9:55,,,103,33L,,TWB,RKSI_PULUN
KAL073,B772,HL7765,RKSI,CYYZ,25000,2012-05-13 9:59,,,7,33L,,KAL,RKSI_PULUN
AAR112,B777,HL7742,RKSI,RJBB,25000,2012-05-13 10:00,,,31,33L,,AAR,RKSI_PULUN
AAR104,A330,HL7740,RKSI,RJAA,25000,2012-05-13 10:01,,,35,33L,,AAR,RKSI_PULUN
HVN417,A332,VNA372,RKSI,VVNB,25000,2012-05-13 10:03,,,111,34,,HVN,RKSI_PULUN
AAR222,B777,HL7791,RKSI,KJFK,25000,2012-05-13 10:04,,,46,34,,AAR,RKSI_PULUN
KAL823,B738,HL8241,RKSI,ZYMD,25000,2012-05-13 10:04,,,20,34,,KAL,RKSI_PULUN
JNA005,B737,HL7563,RKSI,PGUM,25000,2012-05-13 10:04,,,127,33L,,JNA,RKSI_PULUN
SHU111,B737,73013,UHSS,RKSI,25000,2012-05-13 10:06,,127,,,33R,SHU,PULUN_RKSI
KAL613,A333,HL7553,RKSI,VHHH,25000,2012-05-13 10:06,,,8,34,,KAL,RKSI_PULUN
KAL765,A333,HL7709,RKSI,RJCC,25000,2012-05-13 10:08,,,24,33L,,KAL,RKSI_PULUN
KAL703,B773,HL7532,RKSI,RJAA,25000,2012-05-13 10:09,,,15,33L,,KAL,RKSI_PULUN
HVN409,B772,VNA151,RKSI,VVTS,25000,2012-05-13 10:09,,,112,34,,HVN,RKSI_PULUN
THA629,B772,HSTJC,RKSI,VTBS,25000,2012-05-13 10:10,,,121,34,,THA,RKSI_PULUN
CPA417,A343,BHXF,RKSI,VHHH,25000,2012-05-13 10:13,,,124,34,,CPA,RKSI_PULUN
AAR152,A321,HL7712,RKSI,RJSS,25000,2012-05-13 10:16,,,30,33L,,AAR,RKSI_PULUN
FIN042,A333,OHLTO,RKSI,EFHK,25000,2012-05-13 10:20,,,126,34,,FIN,RKSI_PULUN
CSN685,A321,B6306,ZYTL,RKSI,25000,2012-05-13 10:27,,106,,,33R,CSN,PULUN_RKSI
DAL578,B757,N536US,RKSI,PHNL,25000,2012-05-13 10:28,,,115,33L,,DAL,RKSI_PULUN
GIA879,A332,PKGPL,RKSI,WIII,25000,2012-05-13 10:29,,,109,34,,GIA,RKSI_PULUN
KAL691,A333,HL7587,RKSI,RCTP,25000,2012-05-13 10:31,,,28,34,,KAL,RKSI_PULUN
KAL081,A380,HL7614,RKSI,KJFK,25000,2012-05-13 10:32,,,10,33L,,KAL,RKSI_PULUN
KAL093,B773,HL8209,RKSI,KIAD,25000,2012-05-13 10:33,,,27,33L,,KAL,RKSI_PULUN
KAL767,B738,HL8225,RKSI,RJSA,25000,2012-05-13 10:35,,,17,33L,,KAL,RKSI_PULUN
KAL757,B747,HL7460,RKSI,RJGG,25000,2012-05-13 10:35,,,19,33L,,KAL,RKSI_PULUN
KAL035,B773,HL8217,RKSI,KATL,25000,2012-05-13 10:38,,,14,33L,,KAL,RKSI_PULUN
AAR363,A330,HL7741,RKSI,ZSPD,25000,2012-05-13 10:40,,,49,34,,AAR,RKSI_PULUN
MGL301,B738,EICSG,ZMUB,RKSI,25000,2012-05-13 10:45,,130,,,33R,MGL,PULUN_RKSI
AAR371,A321,HL7790,RKSI,ZGSZ,25000,2012-05-13 10:45,,,42,34,,AAR,RKSI_PULUN
MDA7398,E190,B16825,RCMQ,RKSI,25000,2012-05-13 10:47,,105,,,33R,MDA,PULUN_RKSI
AFL250,A333,VQBQZ,UUEE,RKSI,25000,2012-05-13 10:49,,111,,,33R,AFL,PULUN_RKSI
DLH719,A343,DAIFD,RKPK,RKSI,25000,2012-05-13 10:51,,122,,,33R,DLH,PULUN_RKSI
CES579,A320,B6260,ZSNJ,RKSI,25000,2012-05-13 10:53,,118,,,33R,CES,PULUN_RKSI
AAR161,A321,HL7731,RJOA,RKSI,25000,2012-05-13 10:54,,31,,,33R,AAR,PULUN_RKSI
CES549,A320,B2400,ZSYT,RKSI,25000,2012-05-13 10:55,,117,,,34,CES,PULUN_RKSI
AAR711,B777,HL7500,RKSI,RCTP,25000,2012-05-13 10:55,,,40,34,,AAR,RKSI_PULUN
CAL160,B744,B18207,RCTP,RKSI,25000,2012-05-13 10:56,,126,,,33R,CAL,PULUN_RKSI
MAS067,A333,9MMKH,RKSI,WMKK,25000,2012-05-13 10:58,,,107,34,,MAS,RKSI_PULUN
KAL748,B739,HL7725,RJOB,RKSI,25000,2012-05-13 11:00,,11,,,33R,KAL,PULUN_RKSI
CSN313,B738,B5191,ZSPD,RKSI,25000,2012-05-13 11:00,,102,,,34,CSN,PULUN_RKSI
CCA171,B737,B2580,ZBTJ,RKSI,25000,2012-05-13 11:02,,103,,,34,CCA,PULUN_RKSI
AAR115,B763,HL7516,RJBB,RKSI,25000,2012-05-13 11:04,,46,,,33R,AAR,PULUN_RKSI
KAL031,B772,HL7751,RKSI,KDFW,25000,2012-05-13 11:04,,,21,33L,,KAL,RKSI_PULUN
DLH712,A346,DAIHH,EDDF,RKSI,25000,2012-05-13 11:05,,124,,,34,DLH,PULUN_RKSI
KAL752,B747,HL7461,RJGG,RKSI,25000,2012-05-13 11:06,,7,,,33R,KAL,PULUN_RKSI
KAL001,A330,HL8228,RKSI,KLAX,25000,2012-05-13 11:07,,,26,33L,,KAL,RKSI_PULUN
GIA871,A333,PKGPG,RKSI,WADD,25000,2012-05-13 11:07,,,108,34,,GIA,RKSI_PULUN
KAL722,A333,HL7585,RJBB,RKSI,25000,2012-05-13 11:08,,28,,,33R,KAL,PULUN_RKSI
KAL936,B777,HL7598,LKPR,RKSI,25000,2012-05-13 11:08,,12,,,34,KAL,PULUN_RKSI
AAR107,B763,HL7514,RJAA,RKSI,25000,2012-05-13 11:11,,39,,,33R,AAR,PULUN_RKSI
CSN681,A321,B6265,ZYTX,RKSI,25000,2012-05-13 11:13,,104,,,34,CSN,PULUN_RKSI
KAL1404,B737,HL7566,RKPK,RKSI,25000,2012-05-13 11:13,,16,,,33R,KAL,PULUN_RKSI
AAR327,B767,HL7247,RKSI,ZBTJ,25000,2012-05-13 11:13,,,47,34,,AAR,RKSI_PULUN
KAL855,B773,HL7573,RKSI,ZBAA,25000,2012-05-13 11:15,,,23,34,,KAL,RKSI_PULUN
KAL904,B744,HL7492,LFPG,RKSI,25000,2012-05-13 11:16,,27,,,34,KAL,PULUN_RKSI
AAR368,B763,HL7515,ZSPD,RKSI,25000,2012-05-13 11:19,,45,,,33R,AAR,PULUN_RKSI
KAL764,B737,HL8221,RJSN,RKSI,25000,2012-05-13 11:23,,34,,,33R,KAL,PULUN_RKSI
KAL897,A333,HL7540,RKSI,ZSPD,25000,2012-05-13 11:25,,,24,34,,KAL,RKSI_PULUN
KAL952,B772,HL7715,OMDB,RKSI,25000,2012-05-13 11:28,,22,,,33R,KAL,PULUN_RKSI
CCA139,A319,B6022,ZSHC,RKSI,25000,2012-05-13 11:28,,101,,,33R,CCA,PULUN_RKSI
KAL788,A333,HL7702,RJFF,RKSI,25000,2012-05-13 11:33,,21,,,33R,KAL,PULUN_RKSI
CDG4095,B738,B5453,ZSJN,RKSI,25000,2012-05-13 11:35,,131,,,33R,CDG,PULUN_RKSI
KAL9906,B777,HL7733,LDZA,RKSI,25000,2012-05-13 11:36,,19,,,33R,KAL,PULUN_RKSI
CES5041,A320,B6586,ZSPD,RKSI,25000,2012-05-13 11:40,,119,,,33R,CES,PULUN_RKSI
KAL706,B747,HL7494,RJAA,RKSI,25000,2012-05-13 11:44,,15,,,33R,KAL,PULUN_RKSI
AAR542,B747,HL7423,EDDF,RKSI,25000,2012-05-13 11:45,,35,,,33R,AAR,PULUN_RKSI
KAL037,B773,HL8210,RKSI,KORD,25000,2012-05-13 11:45,,,15,33L,,KAL,RKSI_PULUN
CCA123,A332,B6075,ZBAA,RKSI,25000,2012-05-13 11:48,,109,,,33R,CCA,PULUN_RKSI
MDA7399,E190,B16825,RKSI,RCMQ,25000,2012-05-13 11:48,,,105,34,,MDA,RKSI_PULUN
CSN686,A321,B6306,RKSI,ZYTL,25000,2012-05-13 11:49,,,106,34,,CSN,RKSI_PULUN
KAL796,B738,HL8242,RJCC,RKSI,25000,2012-05-13 11:51,,9,,,33R,KAL,PULUN_RKSI
SHU112,B737,73013,RKSI,UHSS,25000,2012-05-13 11:51,,,127,33L,,SHU,RKSI_PULUN
AAR8532,A320,HL7769,RKPK,RKSI,25000,2012-05-13 11:53,,32,,,33R,AAR,PULUN_RKSI
CES550,A320,B2400,RKSI,ZSYT,25000,2012-05-13 11:54,,,117,34,,CES,RKSI_PULUN
KAL846,B737,HL7785,ZSQD,RKSI,25000,2012-05-13 11:55,,18,,,33R,KAL,PULUN_RKSI
CSN314,B738,B5191,RKSI,ZSPD,25000,2012-05-13 11:58,,,102,34,,CSN,RKSI_PULUN
CSN687,A321,B2280,ZYCC,RKSI,25000,2012-05-13 11:59,,112,,,33R,CSN,PULUN_RKSI
AAR236,B777,HL7732,RKSI,KORD,25000,2012-05-13 11:59,,,43,33L,,AAR,RKSI_PULUN
CES2033,A320,B2336,ZSQD,RKSI,25000,2012-05-13 12:05,,129,,,33R,CES,PULUN_RKSI
JAL951,B763,JA609J,RJAA,RKSI,25000,2012-05-13 12:11,,113,,,33R,JAL,PULUN_RKSI
CES580,A320,B6260,RKSI,ZSNJ,25000,2012-05-13 12:17,,,118,34,,CES,RKSI_PULUN
ANA941,A320,JA8386,RJGG,RKSI,25000,2012-05-13 12:18,,121,,,33R,ANA,PULUN_RKSI
KAL906,A388,HL7615,EDDF,RKSI,25000,2012-05-13 12:21,,10,,,33R,KAL,PULUN_RKSI
AAR164,A321,HL7731,RKSI,RJOH,25000,2012-05-13 12:24,,,31,33L,,AAR,RKSI_PULUN
CES217,A320,B6558,ZSYN,RKSI,25000,2012-05-13 12:30,,118,,,33R,CES,PULUN_RKSI
AAR339,B763,HL7516,RKSI,ZYHB,25000,2012-05-13 12:30,,,46,34,,AAR,RKSI_PULUN
CAL161,B744,B18207,RKSI,RCTP,25000,2012-05-13 12:30,,,126,34,,CAL,RKSI_PULUN
KAL832,A333,HL7525,ZYTX,RKSI,25000,2012-05-13 12:33,,8,,,33R,KAL,PULUN_RKSI
ESR612,B737,HL8215,RJBB,RKSI,25000,2012-05-13 12:38,,125,,,33R,ESR,PULUN_RKSI
UAL890,B772,N785UA,RKSI,KJFK,25000,2012-05-13 12:38,,,123,33L,,UAL,RKSI_PULUN
AAR768,A330,HL7740,VIDP,RKSI,25000,2012-05-13 12:40,,30,,,33R,AAR,PULUN_RKSI
AAR359,B763,HL7514,RKSI,ZSHC,25000,2012-05-13 12:40,,,39,34,,AAR,RKSI_PULUN
CDG4096,B738,B5453,RKSI,ZSJN,25000,2012-05-13 12:41,,,131,34,,CDG,RKSI_PULUN
CCA127,A321,B6597,ZSQD,RKSI,25000,2012-05-13 12:43,,107,,,33R,CCA,PULUN_RKSI
CES2017,A320,B6716,ZSWH,RKSI,25000,2012-05-13 12:47,,128,,,33R,CES,PULUN_RKSI
AAR541,B747,HL7421,RKSI,EDDF,25000,2012-05-13 12:47,,,41,34,,AAR,RKSI_PULUN
DLH719,A343,DAIFD,RKSI,EDDM,25000,2012-05-13 12:47,,,122,33R,,DLH,RKSI_PULUN
AAR318,A320,HL7762,ZSQD,RKSI,25000,2012-05-13 12:50,,36,,,33R,AAR,PULUN_RKSI
CSN6073,A321,B6302,ZYYJ,RKSI,25000,2012-05-13 12:51,,115,,,33R,CSN,PULUN_RKSI
AAR302,A321,HL7722,ZYTL,RKSI,25000,2012-05-13 12:54,,42,,,33R,AAR,PULUN_RKSI
KAL869,B737,HL8223,RKSI,ZYTL,25000,2012-05-13 12:56,,,20,,,KAL,RKSI_PULUN
AAR131,B777,HL7597,RJFF,RKSI,25000,2012-05-13 12:58,,40,,,,AAR,PULUN_RKSI
KAL785,B737,HL7725,RKSI,RJFK,25000,2012-05-13 12:58,,,11,,,KAL,RKSI_PULUN
KAL841,A333,HL7702,RKSI,ZSQD,25000,2012-05-13 12:58,,,21,,,KAL,RKSI_PULUN
