Callsign,AircraftType,Registration,Origin,Destination,CrusingAltitude,ScheduleTimeDeparture,ScheduleTimeArrival,SpotArrival,SpotDeparture,DepartureRunway,ArrivalRunway,Airline,Route
AAR742,A330,HL7741,VTBS,RKSI,25000,2015-05-13 00:55:00,,,,,,AAR,PULUN_RKSI
KAL628,B747,HL7490,WIII,RKSI,25000,2015-05-13 00:56:00,,,,,,KAL,PULUN_RKSI
MAS066,A333,9MMKH,WMKK,RKSI,25000,2015-05-13 00:57:00,,,,,,MAS,PULUN_RKSI
AAR740,A321,HL8255,VDPP,RKSI,25000,2015-05-13 00:58:00,,,,,,AAR,PULUN_RKSI
KAL668,B738,HL8241,VTCC,RKSI,25000,2015-05-13 00:59:00,,,,,,KAL,PULUN_RKSI
KAL654,B777,HL7573,VTBS,RKSI,25000,2015-05-13 01:00:00,,,,,,KAL,PULUN_RKSI
KAL112,B777,HL7721,PGUM,RKSI,25000,2015-05-13 01:01:00,,,,,,KAL,PULUN_RKSI
AFR264,B773,FGSQF,LFPG,RKSI,25000,2015-05-13 01:02:00,,,,,,AFR,PULUN_RKSI
BCC868,B763,HSBID,VTBS,RKSI,25000,2015-05-13 01:03:00,,,,,,BCC,PULUN_RKSI
JJA2202,B737,HL8214,VTBS,RKSI,25000,2015-05-13 01:04:00,,,,,,JJA,PULUN_RKSI
SIA608,A333,9VSTF,WSSS,RKSI,25000,2015-05-13 01:05:00,,,,,,SIA,PULUN_RKSI
JJA2702,B737,HL7796,VVTS,RKSI,25000,2015-05-13 01:06:00,,,,,,JJA,PULUN_RKSI
FIN041,A333,OHLTO,EFHK,RKSI,25000,2015-05-13 01:07:00,,,,,,FIN,PULUN_RKSI
KAL1412,B737,HL7562,RKTN,RKSI,25000,2015-05-13 01:08:00,,,,,,KAL,PULUN_RKSI
KAL114,B739,HL8225,PGUM,RKSI,25000,2015-05-13 01:09:00,,,,,,KAL,PULUN_RKSI
KAL1402,B737,HL8240,RKPK,RKSI,25000,2015-05-13 01:10:00,,,,,,KAL,PULUN_RKSI
GIA870,A333,PKGPG,WADD,RKSI,25000,2015-05-13 01:11:00,,,,,,GIA,PULUN_RKSI
KAL642,B773,HL7532,WSSS,RKSI,25000,2015-05-13 01:12:00,,,,,,KAL,PULUN_RKSI
GIA878,A332,PKGPL,WIII,RKSI,25000,2015-05-13 01:13:00,,,,,,GIA,PULUN_RKSI
KAL638,A333,HL7709,VTSP,RKSI,25000,2015-05-13 01:14:00,,,,,,KAL,PULUN_RKSI
TWB102,B737,HL8237,VTBS,RKSI,25000,2015-05-13 01:15:00,,,,,,TWB,PULUN_RKSI
KAL720,A330,HL7539,RJTT,RKSI,25000,2015-05-13 01:16:00,,,,,,KAL,PULUN_RKSI
KAL660,A333,HL7587,VTBS,RKSI,25000,2015-05-13 01:17:00,,,,,,KAL,PULUN_RKSI
AAR748,B767,HL7247,VTSP,RKSI,25000,2015-05-13 01:18:00,,,,,,AAR,PULUN_RKSI
KAL630,A333,HL7701,WADD,RKSI,25000,2015-05-13 01:19:00,,,,,,KAL,PULUN_RKSI
AAR552,B777,HL7732,LTBA,RKSI,25000,2015-05-13 01:20:00,,,,,,AAR,PULUN_RKSI
SHU111,B737,73013,UHSS,RKSI,25000,2015-05-13 01:21:00,,,,,,SHU,PULUN_RKSI
CSN685,A321,B6306,ZYTL,RKSI,25000,2015-05-13 01:22:00,,,,,,CSN,PULUN_RKSI
MGL301,B738,EICSG,ZMUB,RKSI,25000,2015-05-13 01:23:00,,,,,,MGL,PULUN_RKSI
