Time,Name,Aircraft,Instruction,InstructionTimeInSeconds
2012-05-13 06:30:39,IncheonTower2,THA656,Landing,11
2012-05-13 06:32:00,IncheonGround,AAR736,Taxi,0
2012-05-13 06:32:00,IncheonTower1,AAR736,FreqencyChange,11
2012-05-13 06:32:01,SeoulApproach,MAS066,AssignSpot(NonWork)->107,0
2012-05-13 06:32:01,SeoulApproach,MAS066,Landing,11
2012-05-13 06:32:20,SeoulApproach,AAR742,FreqencyChange,11
2012-05-13 06:32:20,IncheonTower1,AAR742,Landing,11
2012-05-13 06:32:47,IncheonGround,KAL632,Taxi,0
2012-05-13 06:32:47,IncheonTower2,KAL632,FreqencyChange,11
2012-05-13 06:33:09,SeoulApproach,KAL628,FreqencyChange,11
2012-05-13 06:33:09,IncheonTower2,KAL628,Landing,11
2012-05-13 06:33:11,IncheonTower1,AMU826,Taxi,0
2012-05-13 06:34:01,SeoulApproach,AAR740,AssignSpot(NonWork)->38,0
2012-05-13 06:34:01,SeoulApproach,AAR740,Landing,11
2012-05-13 06:34:47,IncheonTower2,THA654,Taxi,0
2012-05-13 06:35:12,IncheonGround,DLH718,Taxi,0
2012-05-13 06:35:27,SeoulApproach,MAS066,FreqencyChange,11
2012-05-13 06:35:27,IncheonTower1,MAS066,Landing,11
2012-05-13 06:35:34,IncheonTower1,KAL688,Taxi,0
2012-05-13 06:36:06,IncheonTower2,THA654,Crossing,7
2012-05-13 06:36:41,IncheonGround,AAR738,Taxi,0
2012-05-13 06:36:41,IncheonTower1,AAR738,FreqencyChange,11
2012-05-13 06:36:55,IncheonTower2,THA656,Taxi,0
2012-05-13 06:37:14,SeoulApproach,AAR740,FreqencyChange,11
2012-05-13 06:37:14,IncheonTower2,AAR740,Landing,11
2012-05-13 06:38:01,SeoulApproach,KAL668,AssignSpot(NonWork)->20,0
2012-05-13 06:38:01,SeoulApproach,KAL668,Landing,11
2012-05-13 06:38:11,IncheonTower2,THA656,Crossing,7
2012-05-13 06:38:40,IncheonTower1,AAR742,Taxi,0
2012-05-13 06:39:14,IncheonTower2,KAL628,Taxi,0
2012-05-13 06:40:04,IncheonGround,AMU826,Taxi,0
2012-05-13 06:40:04,IncheonTower1,AMU826,FreqencyChange,11
2012-05-13 06:40:24,IncheonTower2,KAL628,Crossing,7
2012-05-13 06:41:13,SeoulApproach,KAL668,FreqencyChange,11
2012-05-13 06:41:13,IncheonTower2,KAL668,Landing,11
2012-05-13 06:41:26,IncheonGround,THA654,Taxi,0
2012-05-13 06:41:26,IncheonTower2,THA654,FreqencyChange,11
2012-05-13 06:41:54,IncheonGround,DLH718,FreqencyChange,11
2012-05-13 06:41:54,IncheonTower1,MAS066,Taxi,0
2012-05-13 06:42:15,IncheonTower2,DLH718,Lineup,9
2012-05-13 06:42:33,IncheonGround,KAL688,Taxi,0
2012-05-13 06:42:33,IncheonTower1,KAL688,FreqencyChange,11
2012-05-13 06:42:55,IncheonTower2,DLH718,Takeoff,11
2012-05-13 06:43:25,IncheonTower2,AAR740,Taxi,0
2012-05-13 06:44:40,IncheonTower2,AAR740,Crossing,7
2012-05-13 06:44:48,IncheonGround,THA656,Taxi,0
2012-05-13 06:44:48,IncheonTower2,THA656,FreqencyChange,11
2012-05-13 06:45:25,IncheonTower2,DLH718,FreqencyChange,11
2012-05-13 06:45:35,IncheonGround,AAR742,Taxi,0
2012-05-13 06:45:35,IncheonTower1,AAR742,FreqencyChange,11
2012-05-13 06:46:01,SeoulApproach,KAL654,AssignSpot(NonWork)->10,0
2012-05-13 06:46:01,SeoulApproach,KAL654,Landing,11
2012-05-13 06:47:23,IncheonTower2,KAL668,Taxi,0
2012-05-13 06:47:26,IncheonGround,KAL628,Taxi,0
2012-05-13 06:47:26,IncheonTower2,KAL628,FreqencyChange,11
2012-05-13 06:48:30,IncheonGround,MAS066,Taxi,0
2012-05-13 06:48:30,IncheonTower1,MAS066,FreqencyChange,11
2012-05-13 06:48:37,IncheonTower2,KAL668,Crossing,7
2012-05-13 06:49:01,SeoulApproach,KAL112,AssignSpot(NonWork)->19,0
2012-05-13 06:49:01,SeoulApproach,KAL112,Landing,11
2012-05-13 06:49:11,SeoulApproach,KAL654,FreqencyChange,11
2012-05-13 06:49:11,IncheonTower2,KAL654,Landing,11
2012-05-13 06:51:23,IncheonGround,AAR740,Taxi,0
2012-05-13 06:51:23,IncheonTower2,AAR740,FreqencyChange,11
2012-05-13 06:52:08,SeoulApproach,KAL112,FreqencyChange,11
2012-05-13 06:52:08,IncheonTower2,KAL112,Landing,11
2012-05-13 06:53:00,IncheonGround,CEB191,AssignSpot(NonWork)->119,0
2012-05-13 06:55:19,IncheonTower2,KAL654,Taxi,0
2012-05-13 06:55:20,IncheonGround,KAL668,Taxi,0
2012-05-13 06:55:20,IncheonTower2,KAL668,FreqencyChange,11
2012-05-13 06:56:24,IncheonTower2,KAL654,Crossing,7
2012-05-13 06:57:59,IncheonGround,AAR8531,AssignSpot(NonWork)->2,0
2012-05-13 06:58:11,IncheonTower2,KAL112,Taxi,0
2012-05-13 07:01:09,IncheonTower2,KAL112,Crossing,7
2012-05-13 07:02:01,SeoulApproach,AFR264,AssignSpot(NonWork)->110,0
2012-05-13 07:02:01,SeoulApproach,AFR264,Landing,11
2012-05-13 07:03:07,IncheonGround,KAL654,Taxi,0
2012-05-13 07:03:07,IncheonTower2,KAL654,FreqencyChange,11
2012-05-13 07:05:01,SeoulApproach,BCC868,AssignSpot(NonWork)->132,0
2012-05-13 07:05:01,SeoulApproach,BCC868,Landing,11
2012-05-13 07:05:04,SeoulApproach,AFR264,FreqencyChange,11
2012-05-13 07:05:04,IncheonTower2,AFR264,Landing,11
2012-05-13 07:07:52,IncheonGround,KAL112,Taxi,0
2012-05-13 07:07:52,IncheonTower2,KAL112,FreqencyChange,11
2012-05-13 07:08:20,SeoulApproach,BCC868,FreqencyChange,11
2012-05-13 07:08:20,IncheonTower2,BCC868,Landing,11
2012-05-13 07:11:04,IncheonTower2,AFR264,Taxi,0
2012-05-13 07:13:57,IncheonTower2,AFR264,Crossing,7
2012-05-13 07:14:40,IncheonTower2,BCC868,Taxi,0
